Sentence,FK Reading Ease,FOG Scale,SMOG Index,ARI,CL Index,LW Formula,DC Score,Readability Consensus,Spache Formula
"Under the agreement, the Honduran Congress, following a ""consultation"" with the Supreme Court, will vote on whether Zelaya should be reinstated, which would allow him to serve out the rest of his term, which ends in January.",50.84,16.96,0.0,21.0,11.5,22.5,9.31,10.0,7.450594594594595
"Under the deal, the new institutions, which have roots in past banking organisations, will not be taken over by any purchaser that currently owns a British retail bank.",51.52,16.91,0.0,16.3,11.38,18.0,10.1,17.0,6.6298571428571424
"Under the guidance of Qian, also known as Tsien Hsue-shen, China finished the blueprint on developing jet and rocket technology.",42.72,12.0,0.0,14.2,13.17,12.0,12.52,12.0,5.808999999999999
"Under the new rules, religious displays are OK outside the Capitol buildings.",59.3,8.13,0.0,10.5,12.75,6.0,12.13,8.0,5.397666666666666
"Under the prepackaged plan, CIT bondholders will get 70 cents on the dollar in the form of new notes and equity in the reorganized company.",54.56,14.8,0.0,12.7,9.23,16.5,9.93,10.0,5.74
"Under the Senate Finance bill, which has by far the least generous subsidies, that family would have to pay $362 a month, according to charts compiled by Community Catalyst, a national health care advocacy group based in Boston.",32.91,22.57,0.0,21.3,11.56,27.0,11.34,12.0,8.686473684210526
"Under the terms of the two companies' original agreement, Goldman Sachs would have been due a $1 billion termination payment to close the credit line after a CIT bankruptcy.",42.04,17.12,0.0,16.6,11.5,18.5,11.61,12.0,7.3004137931034485
Unemployment data out November 12 will be a key factor.,52.87,8.0,0.0,5.2,7.34,6.0,10.45,8.0,4.828999999999999
"Unemployment will exceed 10 percent early next year, according to the median forecast in a Bloomberg poll last month.",52.19,13.92,0.0,12.6,12.36,12.5,12.06,13.0,6.23378947368421
"Unetra Buckner, 29, said she ultimately chose Brown after two visits to her home by his campaign workers, as well as several phone calls about the councilman's efforts to fight a school bond referendum widely opposed in the African-American community.",22.42,22.0,0.0,23.5,13.18,28.0,11.94,13.0,9.059
"Unfortunately, I only use the card as a last resort when I'm out traveling, so there hasn't been much incentive for me to puzzle out how to get it running faster.",56.93,16.27,0.0,14.1,7.09,18.5,7.72,8.0,6.3196774193548375
"""Unfortunately, we haven't been able to find her yet, but we are not going to stop fighting,"" Olson said.",69.11,9.71,0.0,9.6,7.14,10.5,7.07,8.0,4.875894736842104
"Union membership needs to approve the deal, which will guarantee a Great White North presence for Ford until at least 2012.",75.54,12.21,0.0,12.1,10.62,12.5,10.69,11.0,5.438095238095238
"United Auto Workers and Ford leaders have conceded the contract changes were defeated, said the people, who asked not to be identified disclosing results before they are announced tomorrow.",33.58,17.12,0.0,19.2,14.92,19.5,11.61,12.0,7.5969655172413795
"United States military policy is, on one level, about brave men and women serving in uniform in difficult environments out of a sense of duty, honor, and patriotism.",34.6,18.34,0.0,15.8,10.57,19.0,8.41,16.0,6.6298571428571424
"Unlike a lot of other people, I don't consider myself a Costco fan (I was surprised to find both an ilovecostco.com site and a fan page on Facebook) simply because the company has no store within a reasonable driving distance.",39.34,19.0,0.0,20.6,9.59,24.0,10.75,18.0,8.844
"Unlike many, he was actually enjoying the war in a perverse way: globetrotting around the world, feeling the exhilaration of being shot at and having bombs dropped on you, and getting rigorous exercise at fifty years of age.",32.91,21.52,0.0,20.7,11.09,25.0,10.51,11.0,8.233842105263157
"Unlike other digital offerings that charge by the flick, Netflix provides all-you-can-watch Web-based streaming at no additional cost to subscribers to unlimited plans that start at just $8.99 a month.",32.57,17.33,0.0,20.6,15.04,20.0,12.49,16.0,7.648999999999999
"Unlike Pavlov's ""classical conditioning,"" where an existing behavior (salivating for food) is shaped by associating it with a new stimulus (ringing of a metronome), operant conditioning is the rewarding of a partial behavior or a random act that approaches the desired behavior.",11.93,26.32,0.0,26.1,14.93,34.0,12.49,22.0,9.83242857142857
"Unlike some other arid countries in the region, like Saudi Arabia and the United Arab Emirates, Yemen lacks the money to invest heavily in desalination plants.",45.09,13.48,0.0,15.8,12.25,15.0,13.43,13.0,7.481923076923076
Unmount will insure that everything has been written to your USB drive even poping up a message box if there's a lot to write.,72.5,9.6,0.0,10.8,7.43,13.0,8.12,10.0,5.298
Unmout and eject are teminology for the same function.,62.34,8.04,0.0,7.1,9.94,4.5,11.1,7.0,4.974666666666666
"Until Google Navigation for Maps hits the iPhone, this'll be the cheapest, least-risky turn-by-turn option out there.",54.22,9.15,0.0,15.0,14.5,10.5,12.84,10.0,5.259529411764705
"Until next week, I remain, Rick Munarriz",64.37,8.51,0.0,5.0,6.56,3.5,8.5,9.0,3.0545714285714283
"Update | 2:03 p.m. Per our Times colleague Jeff Zeleny, we're adding Scott Talbott of the Financial Services Roundtable to the list as well.",76.72,8.08,0.0,8.3,9.26,6.0,15.19,6.0,5.077891304347826
"Update: At long, long last, Huckabee finally makes his move.",78.25,4.0,0.0,7.6,8.5,5.0,8.87,5.0,3.969
"UPDATED 2:53 PM PT: According to commenter Ron V, there were a couple of other dominoes that fell in Owens' direction this afternoon.",56.59,12.68,0.0,12.8,9.75,15.5,13.02,13.0,5.951565217391304
"[Updated at 1:30 p.m.: A homecoming dance attended by about 200 students was underway on campus when the shots were fired, said Long Beach Unified School District spokesman Chris Eftychiou.",57.95,17.33,0.0,18.7,12.89,19.0,14.6,13.0,7.648999999999999
UPDATE: Here's Scozzafava making the announcement -,14.63,15.73,0.0,16.9,19.77,4.5,11.83,13.0,5.984999999999999
"UPDATE: If this polling, out today, is accurate, it may not matter: Public Policy Polling has Hoffman running away with the race.",57.61,12.44,0.0,12.7,9.63,13.0,8.32,13.0,5.504636363636363
UPDATE II:  Here is the three-part segment I taped yesterday with Bill Moyers:,66.74,5.2,0.0,8.6,9.5,6.5,10.35,7.0,4.6566153846153835
"update: i went to the boot menu when i started up, where it lets you select which OS you'd like to boot.",91.45,8.8,0.0,7.3,3.54,11.0,8.32,9.0,4.722818181818182
Update: Johnny-come-lamely Newt Gingrich endorses Hoffman.,-10.76,9.07,0.0,23.2,26.55,4.0,22.36,0.0,10.285
"UPDATE: Republican nominee for Congress Dede Scozzafava announced Saturday that she has dropped out of the race, according to the Watertown Daily Times.",39.67,17.9,0.0,16.7,15.03,17.5,12.33,18.0,7.073304347826086
"UPDATE: Scozzafava, the hand-picked choice of the New York state GOP in the key 23rd District special election, reportedly will throw her support to Conservative Party candidate Doug Hoffman.",42.04,17.12,0.0,19.5,14.92,18.5,13.24,15.0,7.89351724137931
"UPDATE:  The Democracy Now segment I did this morning, covering a wide range of issues, is here:",62.68,11.51,0.0,9.0,8.0,10.5,10.05,9.0,5.765411764705883
"U.S. Citizenship and Immigrations Services spokeswoman Sharon Rumry in San Francisco declined to talk about Chaudhry, noting that the agency does not comment on open cases.",45.09,15.02,0.0,18.2,14.92,16.0,14.64,15.0,8.143461538461537
U.S. Coast Guard Rear Adm. Joseph Castillo said Friday that an investigation with the Marine Corps to determine what happened was beginning.,68.77,8.04,0.0,9.6,11.87,6.0,11.36,6.0,4.344545454545454
used UNIX way back in my uni days but this different again - and good fun too !!,80.62,6.4,0.0,5.1,4.17,9.0,7.39,6.0,3.0949999999999998
use the following link to see lower manhattan.,63.36,8.2,0.0,5.6,7.9,5.0,9.95,8.0,4.116999999999999
"use the second one with pumount , works better and without sudo",68.77,4.4,0.0,6.3,8.45,5.0,8.49,8.0,3.171818181818182
"Using a computer at the salon, Moreno and her niece found Bianca, including her Aug. 19, 1993, birth date and full name, listed on a 1999 Mexican government population registry there.",48.47,17.56,0.0,17.3,10.63,20.5,12.81,11.0,7.706774193548387
Using apparel as a springboard to athletic footwear?,46.44,13.2,0.0,9.1,12.25,5.0,13.9,9.0,6.2669999999999995
Using a text editor is good for quick notes but can become cumbersome for a proper ongoing journal.,53.21,13.87,0.0,9.0,8.52,12.0,10.67,9.0,5.765888888888888
U.S. officials have been concerned that the second round would expose Afghan civilians to attack by Taliban militants opposed to the election.,57.61,12.44,0.0,15.5,13.81,13.0,12.62,13.0,7.068272727272728
US President Barack Obama recently lifted restrictions on Cuban-Americans visiting relatives on the island.,14.97,22.74,0.0,17.2,20.23,13.0,15.61,13.0,7.727285714285713
"U.S. Secretary of State Hillary Rodham Clinton praised the ""historic agreement"" and said she was ""very proud"" that the U.S. was ""instrumental in the process.""",63.02,13.2,0.0,16.3,11.55,14.5,11.82,12.0,6.427999999999999
US Secretary of State Hillary Rodham Clinton said a runoff with only one candidate would not necessarily threaten the legitimacy of the process.,39.67,16.16,0.0,15.0,13.52,15.5,11.64,14.0,6.6993913043478255
"U.S. Secretary of State Hillary Rodham Clinton said Saturday that Israel is making ""unprecedented"" concessions on West Bank settlement construction - a position clearly at odds with the prevailing Palestinian view.",24.11,21.33,0.0,22.4,17.71,24.5,13.02,18.0,8.222333333333333
U.S. Senator Jim Webb held a landmark meeting with Burma's military leader Than Shwe in August.,55.24,11.4,0.0,10.1,9.97,9.0,13.31,10.0,5.244999999999999
"Usually immigration authorities don't look into a person's employment history when considering an application for citizenship, Adams said.",-6.02,22.76,0.0,19.2,20.12,17.0,12.42,19.0,7.199222222222222
"""Usually you cannot fold your arms and get your house being carried away into the gullies,"" he said.",70.13,9.42,0.0,9.3,7.89,9.0,8.04,8.0,4.8103333333333325
"Utah and South Dakota top the list of states where residents have the most faith in their neighbors to return a lost wallet with $200 in it, according to a Gallup analysis of data collected around the country between January and June.",45.77,20.61,0.0,21.2,9.82,26.0,9.86,10.0,8.399095238095239
"ValueAct, a nine-year-old firm that invests roughly $3.5 billion in undervalued securities, said it has been cooperating with the SEC since the agency began probing Yee in 2008.",43.06,16.91,0.0,17.8,12.65,18.0,13.48,18.0,7.551285714285713
ValueAct owns roughly 3.5 million shares of ThomsonReuters.,46.44,13.2,0.0,13.2,16.6,5.0,17.85,9.0,5.192
ValueAct said it requires all employees to participate in rigorous training on how to handle non-public information and immediately told investors about the probe into Yee in 2008 and then wrote to them on Friday to detail the charges against him.,29.86,22.25,0.0,22.9,12.61,27.5,11.45,13.0,8.717560975609755
"Vaz said: ""As the country's top adviser on the issue, he is implying to many young people that cannabis is not particularly dangerous.""",48.13,14.42,0.0,13.2,9.99,15.5,9.58,10.0,5.951565217391304
very easy to setup thanks for your help.,105.66,3.2,0.0,2.0,3.55,3.0,6.01,4.0,3.042
Vice versa?,77.91,0.8,0.0,3.1,-4.51,0.0,19.53,0.0,5.420999999999999
"Victor Meza, who was Zelaya's interior minister and led the team negotiating on his behalf, said the last-minute U.S. intervention was crucial.",32.22,16.07,0.0,15.7,13.05,15.0,12.62,15.0,7.068272727272728
"Video stitching alone, will be worth the ($8) price of entry for many people, but keep in mind that Apple instantly render this app obsolete if they just built decent editing into their OS.",53.89,15.95,0.0,17.2,8.89,19.0,10.43,10.0,7.403588235294118
Village head Harrison Okoye describes the devastating effects of gully erosion.,34.93,11.67,0.0,13.6,17.38,6.5,14.23,12.0,7.08090909090909
"vi, nano, or gedit... or notepad!",99.23,2.4,0.0,3.6,0.45,2.0,14.46,1.0,3.1183333333333327
Violence erupts almost daily.,33.58,11.6,0.0,11.2,13.05,2.0,11.73,12.0,3.553
"Voters in the 9th are choosing between Susan Fagan, public affairs director for a Pullman manufacturer and former aide to three U.S. senators from Idaho, and Pat Hailey, a farmer-rancher and school board member who is the widow of former legislator Steve Hailey.",19.37,20.92,0.0,24.2,12.32,26.5,13.11,21.0,9.902
"Voting in next week's Virginia and New Jersey governors' races will render a first judgment on Obama, who was sworn into office just over nine months ago in the midst of the worst recession since World War Two.",58.29,17.31,0.0,19.0,9.12,21.0,10.92,15.0,8.007526315789473
"Voting is underway this weekend, and if approved, the CAW will be responsible for building 10 percent of Ford's North American production, down from the current 13 percent, which the union had been trying to hold on to.",49.83,18.36,0.0,20.1,10.17,23.0,11.34,11.0,8.233842105263157
Wait.,121.22,0.4,0.0,2.6,-22.21,-0.5,0.05,0.0,0.98
"Wallechinsky noted, however, that if Yuan divulged how that happened, ""he would have to leave China immediately.""",45.76,11.51,0.0,14.0,13.45,11.5,10.05,12.0,5.765411764705883
"Wallechinsky, the author, said he is disappointed that Yuan's memoir does not go farther in spilling secrets of China's winning Olympic bid.",57.61,12.44,0.0,15.1,12.76,13.0,11.19,13.0,6.286454545454545
Wal-Mart has added upscale cookware lines from celebrities like Southern-cooking celebrity Paula Deen and created boutiques within the home department to feature merchandise out of the box.,44.07,15.24,0.0,20.5,17.41,17.5,14.33,14.0,7.831185185185184
"Wal-Mart is banking on more frequent visits from shoppers by offering a larger selection of beer, wine, bread, fresh-cut fruits, and other groceries, along with a larger pharmacy area with more privacy for consultations.",36.97,19.48,0.0,21.5,13.82,22.0,12.29,22.0,8.41535294117647
"""Wal-Mart is being aggressive in these challenging economic times, as they should. Consumers' behavior has changed - they shop for value more now than ever before and Wal-Mart's position is perfectly suited to this new consumer demand.""",53.21,13.87,0.0,13.8,13.05,12.25,11.11,14.0,5.765888888888888
Walters asked O'Reilly about the ongoing feud with the White House - O'Reilly said he sent Pres. Obama a fruit basket to thank him for helping the ratings.,74.69,8.36,0.0,7.6,8.58,7.5,9.57,8.0,4.653611111111111
Want to see something scary this Halloween?,89.75,2.8,0.0,7.0,9.87,2.5,8.5,3.0,3.0545714285714283
WaPo: DeMint celebrates Fox News' role trumpeting GOP message,62.34,12.49,0.0,10.8,13.83,5.5,16.36,7.0,4.01911111111111
War is war.,119.19,1.2,0.0,-5.9,-10.09,0.5,0.15,1.0,1.262
Warning !!,-47.99,0.4,0.0,21.5,-4.81,0.0,19.48,0.0,9.58
WARNING: This podcast has been known to kill people.,87.72,3.6,0.0,6.1,8.03,3.5,7.59,4.0,4.01911111111111
Warning though!!!,77.91,0.8,0.0,17.3,7.1,0.0,11.63,0.0,5.420999999999999
Washington and most of the hemisphere's capitals had warned the de facto government that they would not recognize the results of the upcoming elections if the crisis continued to fester.,41.03,18.67,0.0,18.2,13.3,21.0,11.97,19.0,8.222333333333333
"Washington State beat SMU in overtime but hasn't been close any other week, losing by an average of 25 points.",68.1,12.0,0.0,10.0,8.24,12.0,10.16,9.0,5.379
"Washington State freshman Jeff Tuel was 12-of-23 for 104 yards and two touchdowns, both to Jared Karstetter.",79.6,9.15,0.0,12.6,12.47,8.5,14.7,13.0,5.259529411764705
was it fun?,119.19,1.2,0.0,-5.9,-10.09,0.5,0.15,1.0,1.262
Wasnt sure which place you were referring to at first.,86.71,8.0,0.0,4.8,6.76,5.0,7.29,5.0,3.969
Was there a lag between an offer and the acceptance of the offer?,75.2,8.28,0.0,4.3,5.03,6.5,6.71,7.0,3.333538461538461
Watch it:,120.21,0.8,0.0,-1.7,-10.31,0.0,0.1,0.0,1.121
"Watch what they do, not what they say.",114.12,3.2,0.0,0.8,1.41,3.0,0.4,0.0,1.9669999999999999
"Water scarcity afflicts much of the Middle East, but Yemen's poverty and lawlessness make the problem more serious and harder to address, experts say.",55.58,12.93,0.0,15.5,12.77,14.0,10.75,13.0,7.089666666666666
"Waugh added that his own political sources had also tipped Reinfeldt for ""displaying exactly the skills needed by a new European Council president.""",39.67,19.63,0.0,15.9,14.05,17.5,13.7,14.0,7.073304347826086
We actually just got back from Rollins Pond which is in the same vicinity as Fish Creek but further back.,76.56,12.0,0.0,8.8,7.37,12.0,7.0,7.0,4.519
"""We all miss Teddy. We all wish he were here,"" said Dodd, who became close friends with Kirk as well as with Kennedy.",102.1,4.6,0.0,3.8,3.98,4.75,7.64,4.0,2.8344130434782606
We also check in on our two main channels: ReadWriteEnterprise (devoted to 'enterprise 2.0' trends and products) and ReadWriteStart (dedicated to profiling startups and entrepreneurs).,29.18,19.6,0.0,21.2,18.05,18.5,13.72,19.0,7.8039999999999985
We also did some digging to see if people were taking inspiration from the movie Where the Wild Things Are and wearing a [max costume] this year.,69.45,12.28,0.0,12.8,7.96,14.5,8.48,8.0,5.920074074074073
We are a family in Northern Ireland hoping for a 2 centre holiday.,58.28,5.2,0.0,4.6,5.5,7.5,9.14,8.0,4.6566153846153835
"""We are almost unique in the G20 in that we do not currently have a stimulus plan for 2010-11.",77.57,11.81,0.0,6.9,4.99,11.5,9.57,7.0,4.423263157894736
We are based in DC so have done most of the attractions in the immediate area.,80.62,11.4,0.0,5.1,4.93,9.0,9.36,6.0,4.17
We are considering getting married in either the Conservatory Garden or at the Boat House and having a reception for about 40 people at the Boat House.,44.07,15.24,0.0,13.9,9.64,16.5,7.31,14.0,5.601555555555555
We are driving from Detroit to Boston with a possible stop in Niagara Falls but the Hall of Fame for sure.,75.54,10.3,0.0,8.4,6.21,12.5,9.19,8.0,5.438095238095238
"""We are getting to understand the problem better, thanks in part to the fact that many more scientists are working on it than was the case just a few years ago,"" Emanuel said.",71.82,14.41,0.0,15.5,7.56,18.5,7.67,8.0,6.273818181818182
"""We are going back to what George Bush did when for eight years he put science back into the doldrums because his administration would not take advice except from trusted people,"" Willis said.",54.9,14.41,0.0,17.9,10.75,17.5,9.1,18.0,6.795030303030302
"We are hoping to see at least Central Park, FAO schwartz, Statue of Liberty and the Bronx Zoo.",78.59,7.2,0.0,7.7,6.26,9.0,10.67,7.0,4.8103333333333325
"We are interested in Steak, French, American etc.",63.36,3.2,0.0,7.3,8.66,5.0,6.01,7.0,1.9669999999999999
we are looking for a hotel for a visit to rochester - rochester museum and great meals for a 2 night trip romance also    travelling from niagara region ontario,43.06,15.49,0.0,14.3,9.52,17.5,10.66,15.0,6.936999999999999
We are looking to get married in New York at the end of May 2008.,98.55,6.0,0.0,2.1,1.44,6.5,7.54,3.0,3.527333333333333
We are non-smokers and have never had complaints about our room-always asked for non-smoking.,57.27,5.6,0.0,12.5,13.62,9.0,9.97,9.0,4.655857142857142
"""We are not bad people.""",100.24,2.0,0.0,-0.2,-2.01,1.5,0.25,0.0,1.544
"""We are not commenting until the UAW announces the final results,"" said Marcey Evans, a Ford spokeswoman.",71.14,9.15,0.0,11.8,11.08,8.5,12.84,12.0,5.765411764705883
We are not familiar with Fusion.,73.85,9.07,0.0,2.8,4.28,3.0,9.2,3.0,4.551666666666666
"""We are not fighting an enemy here. We are fighting citizens.""",74.35,5.84,0.0,3.6,4.16,2.75,6.78,4.0,3.1781363636363635
* we are not very good at sitting poolside for too long,85.69,4.4,0.0,2.9,4.21,5.0,5.62,4.0,3.171818181818182
We are planning an August car trip with our 8 and 10 year olds.,99.57,5.6,0.0,2.4,2.43,6.0,8.84,3.0,3.427285714285714
We are planning on going to the cave of the winds and maid of the mist on the American side and then walking over Rainbow Bridge.,78.93,10.4,0.0,10.4,5.98,14.0,7.36,9.0,5.166538461538462
"""We are reaching a point where we don't even know if the interventions we are proposing will save the situation.""",68.1,12.0,0.0,10.7,8.82,12.0,7.79,9.0,5.379
We are staying at the Radio City Apartments.,80.28,3.2,0.0,4.4,6.45,3.0,7.98,4.0,4.116999999999999
We are staying in Greenport with small children (9-5).,87.72,3.6,0.0,7.1,8.03,3.5,11.1,4.0,4.01911111111111
We are staying in new York CIty for about 4 nights and then want to head out for about 10 days of rest and relaxation.,88.4,11.6,0.0,8.8,4.59,13.5,9.3,9.0,5.052
"""We are strongly dissatisfied with and firmly oppose the EU statement,"" Chinese Foreign Ministry spokesman Ma Zhaoxu said in a news release.",57.61,10.62,0.0,15.1,13.05,12.0,14.06,11.0,7.459181818181818
We are thinking of staying at the Hudson Hotel on 58th Street.,84.68,4.8,0.0,4.6,6.02,5.0,9.5,5.0,4.680999999999999
"We are thinking of taking our 18-yr old daughter to New York for her birthday so good shops, all the sites and trendy places to eat are paramount.",76.9,11.2,0.0,12.6,7.03,14.0,10.1,10.0,5.401285714285713
We are trying to find family-friendly beach for shelling and kick-back etc.,76.22,4.8,0.0,9.7,11.3,6.0,8.18,6.0,3.247666666666666
We are using an Alternate PPC 7.04 and I had a lot to do for configuring yaboot.,71.14,11.51,0.0,4.8,3.59,10.5,10.98,11.0,5.259529411764705
"Wearing a cooking apron he said ruefully that he got seasick that first rocky day, was so disoriented by the ships switch to red lighting at night that he spent nearly an hour lost and then spent much of the following hours worried about rolling out of the top bunk.",46.11,21.6,0.0,24.0,8.55,28.0,9.27,9.0,8.921
"Wearing a denim jumper, Bianca Isabella Lozano held her father's hand as they walked to a sport utility vehicle.",60.65,13.92,0.0,11.4,10.5,12.5,12.89,13.0,6.686421052631578
We ate there and enjoyed it very much!,105.66,3.2,0.0,0.8,2.1,3.0,6.01,1.0,3.042
We bagged ours.,119.19,1.2,0.0,0.5,-2.38,0.5,9.05,1.0,1.262
"""We believe the sec was simply negligent in its investigations and examinations of Madoff's business.""",30.87,14.0,0.0,13.7,14.61,10.5,10.7,14.0,5.820666666666666
"""We believe, the U.S. government believes, that the Guineans now have the right, and really merit the opportunity, to have a democratic election,"" said Fitzgerald.",46.1,13.2,0.0,17.3,12.94,16.5,10.56,13.0,6.427999999999999
We beverages should not be too expensive.,64.37,14.23,0.0,5.6,8.24,4.5,8.5,6.0,4.283142857142856
"""We cannot move, this is no joke,"" Magcalas said.",96.18,3.6,0.0,4.5,4.14,3.5,5.84,4.0,3.0635555555555554
We can now place Google squarely in the software box.,95.17,4.0,0.0,4.3,6.18,4.0,8.87,4.0,3.969
We can probably make it all the way to Cooperstown in onme day but the hotels are limited there which is why Syracuse looks better.,63.02,14.8,0.0,11.2,7.61,15.5,9.3,11.0,6.427999999999999
"""We collectively feel strongly in the state that we have a good thing going, and that the federal government has been a partner . . . and we want to make sure that continues.""",48.47,16.27,0.0,15.6,8.54,21.0,7.21,16.0,6.3196774193548375
We could have it once during our vacation and we usually received the reward at the end of our visit.,68.1,12.0,0.0,7.9,6.21,12.0,7.0,12.0,4.949
"We cross at Ogdensburg, then proceed to Canton, South Colton, Tupper Lake, Saranac Lake, Lake Placid.",80.62,8.9,0.0,11.9,11.42,8.0,11.34,12.0,5.244999999999999
"We'd add Timothy Ryan of the Securities Industry and Financial Markets Association, but there are multiple entries with that name.",25.8,20.0,0.0,14.7,14.04,16.0,11.73,15.0,7.099
"""We decided, if it's core to gameplay, it gets a trophy. If it's a skill-based honor, like a 'Hey man, look what I can do,' thing, then it's a medal.""",90.09,7.33,0.0,5.1,2.43,7.0,9.64,5.0,3.8139999999999996
We did.,120.21,0.8,0.0,-6.4,-16.11,0.0,0.1,0.0,1.121
"""We didn't change,"" he said.",100.24,2.0,0.0,3.7,0.32,1.5,0.25,1.0,1.544
"""We didn't want people playing through the game and feeling there was no way to ever get the platinum trophy, that there was no way to get all the trophies because it was so super-complex,"" Minkoff said.",59.3,14.8,0.0,18.3,8.37,19.5,8.89,15.0,7.683027027027027
We did the math and found that feeding those animals takes about 294 thousand square miles of land.,87.05,9.42,0.0,9.0,8.52,9.0,9.79,9.0,4.332555555555555
We'd like something to do for an afternoon/evening that isn't necessarily NYC.,42.38,8.13,0.0,10.9,12.28,7.0,6.86,11.0,3.247666666666666
We do have tickets for Lion King.,89.75,2.8,0.0,0.3,1.57,2.5,6.24,3.0,3.0545714285714283
"""We don't ever want to suspend the case prematurely, when there may be someone out there. ... But hope gets less every day. My hope today is not what it was yesterday.""",77.94,5.41,7.8,4.6,5.02,5.0,5.68,5.0,2.850838709677419
"We don't expect the SEC to tackle this issue anytime soon, though it probably should if it's really serious about educating ordinary investors.",39.67,16.16,0.0,14.8,12.54,16.5,10.96,13.0,7.073304347826086
"""We don't like it when we're right, because usually when we're right someone does get hurt somewhere along the way.""",76.56,10.0,0.0,11.4,8.82,11.0,1.78,11.0,4.089
"""We don't want somebody to come out of a game and feel like they accomplished nothing, and they only got two trophies because the others were so esoteric, weird or difficult to find. It's like a slap in the face, to say, 'You thought you played Uncharted, but you really haven't.' """,62.51,13.34,0.0,12.7,7.67,15.5,8.0,8.0,5.446264705882353
"We don't want to ""just stop and sleep"" we'd like to do something or see something or... something!",87.05,7.2,0.0,8.8,5.97,8.0,0.89,6.0,3.377
"Weeks later, when the vehicles O'Quinn had purchased finally made it to Houston, legal work came to a temporary halt.",59.64,12.0,0.0,11.6,9.98,13.0,10.94,10.0,6.238999999999999
"""We escaped the killing fields,""  said Che, 36.",88.74,3.2,0.0,5.6,5.0,3.0,13.9,3.0,3.042
"""We feel we can be more competitive in these areas.""",78.25,8.0,0.0,3.8,4.44,5.0,7.29,5.0,3.969
We find it takes longer this way.,115.13,2.8,0.0,0.3,1.57,2.5,8.5,3.0,1.8259999999999998
"""We find that people who complete a normal playthrough, they go back and instantly start on hard. They look at the trophies. They look for more things to do in the game, and trophies help to add that value.""",92.12,6.23,6.4,5.5,5.9,5.833333333333333,6.71,6.0,3.5540512820512817
"""We found last year a lot of people are for free speech as long as people agree with their particular point of view,"" Valandra said.",71.48,13.2,0.0,11.4,7.14,14.5,6.14,7.0,5.052
We gave him extra candy and Meade took off the mask and acted especially friendly.,64.71,8.67,0.0,7.4,8.05,7.5,7.54,8.0,4.100666666666667
"""We Germans don't have very much in our history to be proud of,"" said Mr Kohl, 79, who was chancellor of West Germany and then the reunited Germany from 1982-98.",66.41,14.67,0.0,14.3,7.27,18.0,9.86,15.0,6.215666666666666
We get a group together from the Finger Lakes and spend the whole weekend.,82.65,5.6,0.0,6.1,7.01,7.0,6.59,7.0,3.427285714285714
"We get This Is It, the movie, whittled down from the 120 hours of only rehearsal footage.",88.06,6.8,0.0,7.3,6.32,7.5,9.12,7.0,4.247764705882352
We go up there every year and like it better every time we go up there.,89.08,6.4,0.0,3.1,2.38,7.0,0.79,7.0,3.0949999999999998
We had a great time!,117.16,2.0,0.0,-4.0,-4.33,1.5,0.25,2.0,1.544
"""We had a mutual understanding that we all understood clearly, even if it was not in writing,"" says Yuan, who credited ancient Chinese military strategies for shaping the tactics.",42.04,18.5,0.0,17.6,12.31,19.5,12.15,15.0,8.190068965517241
"We had the ""Taste of Poland"" for 2 off of the menu and it was excellent.",97.54,8.9,0.0,3.3,2.03,8.0,8.38,4.0,3.6325
We have 5 kiddos from ages 7 months to 10 years.,102.61,4.4,0.0,0.3,1.02,4.5,14.23,2.0,3.171818181818182
"""We have a shortage of resources,"" he said.",88.74,3.2,0.0,3.8,3.55,3.0,7.98,3.0,4.116999999999999
"""We have a special conference to choose the party's candidate... which is not held annually, and choosing the party's candidate for the presidency would be its one and only subject,"" said Safwat al-Sharif.",37.98,18.05,0.0,19.8,11.79,21.5,10.06,12.0,7.316242424242423
"""We have been gaining strength day by day to counter terrorism from across the border. I have been warning Pakistan not to play games with us. (I have told them that) the last game should be Mumbai attacks. Stop it there,"" he told a public meeting here last night.",88.77,7.34,6.4,7.5,6.9,7.5,7.35,8.0,4.370571428571427
"""We have been suffering for years from this,"" he said, gesturing at a cast-off drill rig that broke after going down too deep into the earth.",70.47,13.48,0.0,12.6,7.55,15.0,7.96,8.0,5.166538461538462
"""We have fallen and we really want to get back up.""",85.69,4.4,0.0,1.6,1.55,5.5,5.62,6.0,3.171818181818182
"We have just witnessed a woman, a moderate in her party, be awarded the nomination of the Republican Party, and then have it brutally snatched away from her: first by the fringe elements within the party, and then by some of the party regulars (including, ironically, Sarah Palin herself).",21.74,26.13,0.0,26.2,10.93,32.5,10.9,11.0,9.678612244897959
We have looked at Calendaring many times (such as in our round-up of 10 players).,81.63,8.67,0.0,7.1,6.49,7.5,9.64,6.0,4.100666666666667
We have never been to NY.,99.23,2.4,0.0,-2.8,-2.46,2.0,6.57,2.0,1.6849999999999998
We have read about Woodbury common outlet and Roosevelt Field Mall in Garden City.,74.19,5.6,0.0,8.8,10.32,6.0,9.97,6.0,5.270142857142856
We have several good ones.,83.32,2.0,0.0,1.8,2.64,2.5,7.04,3.0,1.544
We have stayed at the Seneca several times.,88.74,3.2,0.0,3.8,5.76,4.0,9.95,4.0,1.9669999999999999
"We have stayed in both a corner suite and a reg. room they are both very nice, the suite is larger of course.",90.43,9.2,0.0,7.9,4.19,11.5,7.52,8.0,4.455913043478261
